Question,Answer
that means it will get hotter.,i am dying from the heat.
i am dying from the heat.,turn on the air conditioner.
turn on the air conditioner.,it doesn't work.
it doesn't work.,what happened?
what happened?,i don't know.
i don't know.,did you call the repairman?
did you call the repairman?,of course.
of course.,when is he coming?
when is he coming?,he's busy. he said next week.
i'll be glad when winter comes.,why is that?
why is that?,because i love the snow.
because i love the snow.,"yes, the snow is fun."
"yes, the snow is fun.",last year we made a big snowman.
last year we made a big snowman.,how big was it?
how big was it?,it was seven feet tall.
it was seven feet tall.,how long did it take?
how long did it take?,it took us all day.
it took us all day.,did you give him a nose?
did you give him a nose?,of course. we gave him a big carrot for a nose.
of course. we gave him a big carrot for a nose.,let me help you make one this year.
i'm going to the bank.,what do you need to do?
what do you need to do?,i need to withdraw some money.
i need to withdraw some money.,how are you going to do that?
how are you going to do that?,i'll just use the atm.
i'll just use the atm.,what's that?
what's that?,it's the automatic teller machine.
it's the automatic teller machine.,it gives you money?
it gives you money?,i just insert my debit card into the machine.
i just insert my debit card into the machine.,and it gives you money?
and it gives you money?,"well, it gives me money, but it's my own money."
"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
did you put the blue bin out on the street?,"oh, no. i forgot."
"oh, no. i forgot.","well, you'd better take it out front."
"well, you'd better take it out front.",what time does the recycle truck come by?
what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow."
"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.
i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
"oh, no, you don't.",what do you mean?
what do you mean?,every morning you get up late and rush off to work late.
every morning you get up late and rush off to work late.,do you think i'll forget to do it?
do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
are you ready?,ready for what?
ready for what?,ready for the big switch.
ready for the big switch.,what are you talking about?
what are you talking about?,the nation is switching to digital tv.
the nation is switching to digital tv.,oh. of course i'm ready.
oh. of course i'm ready.,did you buy the converter?
did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
"no, i don't need a converter because i bought a digital tv.",how much was that?
how much was that?,it was only about $120 for a 13-inch screen.
it was only about $120 for a 13-inch screen.,does it pick up any digital channels?
does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
people are funny.,they sure are.
they sure are.,did you hear about the pilot?
did you hear about the pilot?,the one that stole a small plane?
the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
"yes, he stole a plane in canada and flew into the u.s.",did they catch him?
did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?
did he crash?,"no, he just landed the plane and walked to a restaurant."
"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?
did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.
the police need our help finding a robber.,how do you know?
how do you know?,the tv news is reporting a bank robbery.
the tv news is reporting a bank robbery.,do they know what the robber looks like?
do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
what race is he?,they didn't say.
they didn't say.,the tv news doesn't tell us the race anymore.
the tv news doesn't tell us the race anymore.,of course not. that would be racist.
of course not. that would be racist.,but how can we identify someone if we don't know their race?
but how can we identify someone if we don't know their race?,don't ask me.
don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
don't wipe your nose on your sleeve.,but i don't have a tissue.
but i don't have a tissue.,then go find a tissue in the bathroom.
then go find a tissue in the bathroom.,i didn't have time to get one from there.
i didn't have time to get one from there.,your sleeves are not tissues.
your sleeves are not tissues.,"but mom, all my friends use their sleeves."
"but mom, all my friends use their sleeves.",that doesn't make it right.
that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.
i saw dad wipe his nose on his sleeve yesterday.,i will talk to your father about that.
i will talk to your father about that.,i bet dad did it all the time when he was my age.
i bet dad did it all the time when he was my age.,your daddy was a good little boy.
your daddy was a good little boy.,"how do you know? were you his mommy, too?"
i'm worried.,worried about what?
worried about what?,i'm getting married.
i'm getting married.,"you should be happy, not worried."
"you should be happy, not worried.","i am happy, but marriage is a lot of responsibility."
"i am happy, but marriage is a lot of responsibility.","yes, you have to take care of your wife."
"yes, you have to take care of your wife.",and i have to take care of our children.
and i have to take care of our children.,are you going to start a family?
are you going to start a family?,yes. we want to have a little boy and a little girl.
yes. we want to have a little boy and a little girl.,that sounds wonderful.
that sounds wonderful.,except we can't afford it!
except we can't afford it!,no wonder you're worried.
i don't get art.,or artists.
or artists.,they're in a different world.
they're in a different world.,i saw a painting of a jar that was full of pencils.
i saw a painting of a jar that was full of pencils.,the artist said the jar was both full and empty.
the artist said the jar was both full and empty.,but it was full of pencils! how could he say it was empty?
but it was full of pencils! how could he say it was empty?,artists see things differently.
artists see things differently.,did you ever see anything that picasso painted?
did you ever see anything that picasso painted?,of course! he's world famous.
of course! he's world famous.,did he ever take art lessons?
did he ever take art lessons?,i can't believe it. i drew paintings like that in third grade.
i can't believe it. i drew paintings like that in third grade.,where are they? maybe they are worth millions.
what's the point?,the point of what?
the point of what?,of living.
of living.,"who knows? you live, and then you die."
"who knows? you live, and then you die.",we must be here for some reason.
we must be here for some reason.,maybe we're here to have fun.
maybe we're here to have fun.,then why aren't i having fun?
then why aren't i having fun?,because you're thinking too much.
because you're thinking too much.,so i should stop thinking?
so i should stop thinking?,stop thinking about what the point is.
stop thinking about what the point is.,okay. i'll start thinking about having some fun.
okay. i'll start thinking about having some fun.,just be patient. fun doesn't come along every five minutes.
beer is a powerful drug.,so are cigarettes.
so are cigarettes.,which would you prefer?
which would you prefer?,what do you mean?
what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
"when you die and go to heaven, they will offer you beer or cigarettes.",i could pick only one or the other?
i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
"what's so tough about it? of course, i would pick cigarettes.",but cigarettes taste much better when you have a cold beer.
but cigarettes taste much better when you have a cold beer.,"well, you can't have everything."
"well, you can't have everything.",i don't think i want to go to your heaven.
my pants have a hole in the front pocket.,you shouldn't carry pens in your pocket.
you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
who carries a sharp knife in their pocket?,"criminals, of course."
"criminals, of course.","anyway, i have to fix the hole."
"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
you can sew it up or use an iron-on patch.,tell me about this patch.
tell me about this patch.,the patch has glue. the hot iron melts the glue so the patch sticks on.
the patch has glue. the hot iron melts the glue so the patch sticks on.,that sounds a lot easier than sewing.
that sounds a lot easier than sewing.,"it is. but after about ten washings, the glue washes off."
do you know any good jokes?,i can't remember jokes.
i can't remember jokes.,neither can i.
neither can i.,they go in one ear and out the other.
they go in one ear and out the other.,who makes up all these jokes?
who makes up all these jokes?,who knows? but there must be a hundred new ones every day.
who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
"yes, just in english alone.",i wonder if every language has jokes.
i wonder if every language has jokes.,of course! people everywhere like good jokes.
of course! people everywhere like good jokes.,what do you think people joke about the most?
what do you think people joke about the most?,i think most jokes are about women.
i think most jokes are about women.,"oh, really? i think most jokes are about men!"
you're very lucky.,why do you say that?
why do you say that?,you speak two languages.
you speak two languages.,"well, my english isn't perfect."
"well, my english isn't perfect.",no one speaks perfect english.
no one speaks perfect english.,maybe i will be the first!
maybe i will be the first!,i've been thinking about learning spanish.
i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
how long will it take me to learn?,i think it will only take you a year or two.
i think it will only take you a year or two.,how soon can we begin?
how soon can we begin?,ahora! that means right now.
do you know what today is?,"yes, it's april 22."
"yes, it's april 22.",it's more than just a date.
it's more than just a date.,is it your birthday or anniversary?
is it your birthday or anniversary?,"no, it's earth day."
"no, it's earth day.",what's that?
what's that?,it's a yearly reminder to take care of our planet.
it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?
how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.
poetry sucks.,i don't know anyone who likes it.
i don't know anyone who likes it.,"some of it is okay, i guess."
"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
"yes, the poems that rhyme and are easy to remember.","like ""one, two, buckle my shoe."""
"like ""one, two, buckle my shoe.""",but people still write poems.
but people still write poems.,no one makes any money at it.
no one makes any money at it.,shakespeare was a poet.
shakespeare was a poet.,did he get rich from his poetry?
did he get rich from his poetry?,probably not.
probably not.,poems are a little bit like songs.
poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
how smart are you?,i don't know. i think i'm average.
i don't know. i think i'm average.,did you ever take an iq test?
did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school."
"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
i wish i was really smart.,don't be ridiculous.
don't be ridiculous.,what do you mean?
what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?
don't you ever wonder what it's like to be super-smart?,it must be very lonely.
it must be very lonely.,why's that?
why's that?,"because if you're super-smart, no one understands what you're saying."
i missed the tv news last night. what was on?,nothing that would pass as news.
nothing that would pass as news.,what's the weather going to be like this weekend?
what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
"i don't know. whenever the weather comes on, i switch channels.",what was the lead story on the news?
what was the lead story on the news?,some actress was in court for driving without a license.
some actress was in court for driving without a license.,what was the second story?
what was the second story?,some actor married a woman young enough to be his daughter.
some actor married a woman young enough to be his daughter.,what was the third story?
what was the third story?,a bull chased a man in a supermarket.
a bull chased a man in a supermarket.,wasn't there anything about octo-mom?
wasn't there anything about octo-mom?,of course. she's going to hire a nanny for her eight infants.
what are you going to do about your death?,"well, mostly i'll try to avoid it."
"well, mostly i'll try to avoid it.","i mean, are you going to get buried or cremated?"
"i mean, are you going to get buried or cremated?",my wife and i will be cremated.
my wife and i will be cremated.,are you going to be buried next to each other?
are you going to be buried next to each other?,"oh, no. our ashes will be shaken into the ocean."
"oh, no. our ashes will be shaken into the ocean.",you're not going to be buried?
you're not going to be buried?,a coffin costs too much and takes up too much space.
a coffin costs too much and takes up too much space.,"yes, but it will be in a cemetery where your children can visit you."
"yes, but it will be in a cemetery where your children can visit you.",children seldom visit their parents in a cemetery.
children seldom visit their parents in a cemetery.,"that's true. a cemetery is for dead people, not living people."
"that's true. a cemetery is for dead people, not living people.",we figure our kids can visit us whenever they go to the beach.
did you wipe your feet?,"yes, of course i wiped my feet."
"yes, of course i wiped my feet.",then why is there mud on the carpet?
then why is there mud on the carpet?,i don't know. it's not my mud.
i don't know. it's not my mud.,"well, someone brought it into the house."
"well, someone brought it into the house.",look at the bottom of my shoesthey're clean.
look at the bottom of my shoesthey're clean.,of course they're clean. you left all the mud on the carpet.
of course they're clean. you left all the mud on the carpet.,"okay, i'll get the vacuum cleaner."
"okay, i'll get the vacuum cleaner.",don't vacuum it now.
don't vacuum it now.,don't you want me to clean up the mud?
don't you want me to clean up the mud?,wait till it dries. it will be easier to vacuum.
wait till it dries. it will be easier to vacuum.,next time i will be more careful.
what are you getting for your mom?,what are you talking about?
what are you talking about?,sunday is mother's day.
sunday is mother's day.,this sunday?
this sunday?,of course. it's all over the news.
of course. it's all over the news.,i thought it was next sunday.
i thought it was next sunday.,"well, you'd better get her something."
"well, you'd better get her something.",i'll get her a nice card.
i'll get her a nice card.,is that it?
is that it?,yes. that's all i ever give her.
yes. that's all i ever give her.,"she raised you, and all you ever give her is a card?"
"she raised you, and all you ever give her is a card?",it's okay. she knows that i love her.
i don't like our flag.,what's the matter with it?
what's the matter with it?,it's too much like other flags.
it's too much like other flags.,"yes, a lot of flags have stripes."
"yes, a lot of flags have stripes.",a flag should be pretty.
a flag should be pretty.,what should our flag look like?
what should our flag look like?,it should have a pretty woman on it.
it should have a pretty woman on it.,that's ridiculous!
that's ridiculous!,you don't like pretty women?
you don't like pretty women?,of course i do. but not on our flag!
of course i do. but not on our flag!,every nation should have a pretty woman on their flag.
every nation should have a pretty woman on their flag.,you can't go to war carrying a flag with a woman on it!
i had a busy morning.,what did you do?
what did you do?,i watered all the plants.
i watered all the plants.,you have a lot of plants.
you have a lot of plants.,then i did my laundry.
then i did my laundry.,that takes some time.
that takes some time.,i took the dog for a walk.
i took the dog for a walk.,i'll bet he enjoyed his walk.
i'll bet he enjoyed his walk.,i vacuumed the entire house.
i vacuumed the entire house.,that's a lot of work.
that's a lot of work.,and then i made lunch.
and then i made lunch.,i'll bet you were hungry!
i don't have long distance service with my home phone.,so how do you make long distance calls?
so how do you make long distance calls?,i use a calling card.
i use a calling card.,where do you get that?
where do you get that?,i buy it at the dollar store.
i buy it at the dollar store.,how much is it?
how much is it?,it's one dollar for 100 minutes.
it's one dollar for 100 minutes.,that's only a penny a minute!
that's only a penny a minute!,it's a great price. but you have to dial a lot of numbers.
it's a great price. but you have to dial a lot of numbers.,how many?
how many?,"first you dial seven numbers, then ten numbers, then ten more numbers."
"first you dial seven numbers, then ten numbers, then ten more numbers.",yikes. i think i'll keep my long distance service.
do you go to college?,"yes, i do."
"yes, i do.",what college do you go to?
what college do you go to?,i go to pasadena city college.
i go to pasadena city college.,do you like it?
do you like it?,"oh, yes, i really like it."
"oh, yes, i really like it.",why do you like it?
why do you like it?,because it has great teachers.
because it has great teachers.,what else?
what else?,"i like all my classmates, too."
"i like all my classmates, too.",anything else?
anything else?,yes. it's not expensive!
i lost my new pen.,where did you lose it?
where did you lose it?,i don't know.
i don't know.,when did you lose it?
when did you lose it?,i think i lost it today. i used it yesterday.
i think i lost it today. i used it yesterday.,did you check all your pockets?
