Question,Answer
Are yous going to update COD Zombies on IOS for IOS 11.,"Good afternoon William, unfortunately this app is no longer supported. Sincerest apologies. ^JP"
Why was there a half gig update for world at war?,"Good afternoon Jayden, sadly we don't have information on that. Sincerest apologies. ^JP"
tried that there was people so i came back,This is awesome! Thank you so much for the support! Love the costumes! ^TV
"So, when I go get the game on friday my 2xp code will be on the receipt?",Did gamestop give you a code with your pre order down payment that you needed to redeem? ^KO
"Yes, the beta code","Have you redeemed that on your  account? Even tho it says beta code, your pre order bonus are linked. ^KO"
I pre ordered my game at game stop,Hey there! You can check out this link for more information in regards to this -  ^KO
For double xp^,"Hello there, I apologize for the delay. Can you clarify where you pre-ordered the game? Please be sure you keep us updated. ^RN"
I got all of my stats reset on MWR and I don't know why. please help!!!,Can you please give me your gamertag / platform you're playing on so I can pull up your account information. ^CB
Will non season pass holders get the bobus man Carentan at any point? Or not at all?,Unfortunately we don't have any information on this. Please stay tuned for more updates. ^JW
"Didn't work. Tried it on another computer, fresh install, same thing...",Would you please DM the Adobe Product &amp; your purchase details that you have so that we can ask our experts to follow up. ^Raj
the ctrl+alt+shift on load method didn't work. (2/2),Sorry that this isn't more simple... let us know if the steps in the video work out or if you need further help ^Madison
Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...,"Hi Jason, could you please try resetting the preferences of Photoshop &amp; let us know if it helps with the issue    ^SC"
Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...,I am looping in our expert team to help answer your question. Thanks! ^AJ
Any help here ?,"Hi Jason, please let us know if there is anything we can do to help. Thanks! ^AJ"
nope still down.,Have you tried signing out/back in or reinstalling the CC desktop app?  Let us know! ^Madison
yes ive done that multiple times. its happened on previous versions as well.,Thanks for confirming. We're looping in an expert who can help you out here. They will reply as soon as they're available. ^Madison
so..when are they available?,Sorry for this. Let me request the expert to look into this ASAP as he is in office. ^Raj
ok. its been very frustrating. i have multiple jobs that i need finished and your application isnt helping.,"Hi Jeffrey, we wanted to check if you had managed to install Lightroom Classic CC. Please let us know if you need further assistance. ^NR"
no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks,Jeffrey did you use the process listed in  to delete Lightroom Classic CC? ^Jeff
no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks,"Hi there, I am looping our expert team to help answer your question. Thanks! ^MC"
ill just wait for the next big update. ive wasted my time and patience with adobe products,Jeffrey I am sorry to hear that. If you face future errors please review the installation logs.  ^Jeff
whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating.,"Hi Jeffrey, were you able to update to Lightroom Classic CC?   ^Tanuj"
amazonfireTVstick,Fire TV Stick ET
"can I change me sons Xbox live account to his Hotmail account, currently linked to my Hotmail account","Hi, you can change your Microsoft account email through the steps here:  . If the email your son wants to change to is already associated with a Microsoft account, you'll need to follow those steps to switch the email address on that account too. ^ZM"
Did u release an update today for Lightroom Classic CC?,"Hi there, Lightroom 7.0.1 update was launched recently, please update the app to the latest version.  ^TS"
"Please tell me why my  has expired, but Im still being charged????","Hi there, please DM us you Adobe id so that we may have a quick look at your account details.   ^Tanuj"
are there any plans to add a fast crop mode for the iPad version of LR? It takes too many taps and slows down workflow.,"Hi there, you may suggest it as a feature request at:  .  ^Tanuj"
Its intermittent for me. This file fails reliably:   The Create subfolder option just makes an empty svg folder,"Thanks for sharing the file, we'll get back to you with updates as we investigate. ^Wren"
Its intermittent for me. This file fails reliably:   The Create subfolder option just makes an empty svg folder,"Hi Cameron, I am looping in our expert team to help answer your question. Thanks! ^AJ"
"Seems pretty widespread:   Don't mean to be a jerk, but it's frustrating when an update breaks core functionality.","Unfortunately, we are not able to reproduce it at our end. I'll still be checking with the development team to find out more on this. ^OM"
So apparently the new version of   has this cool feature where you can't export SVGs. Sick update guys.,"Hi Keelin, Sorry for the inconvenience. I am able to export SVG in AI CC 2018. Would you mind sharing your workflow, sample file/screenshot?"
I'm worried as if I update my LR6 standalone programme I could lose it due to the new online version....is this true and if so is this fair!,"Hi Duncan, please update Lightroom to 6.13 from the following link:  .  ^Tanuj"
your online forum is always broken even when I clear my cookies.,"Hi Lauren, can you try changing your forum screen name at  That should do the trick! ^Madison"
"Here is an example of an export before and after. Export settings are unchanged from default. No, only some files.","Hi Jack, is there any way you could send me a file to try exporting on my end to try and replicate? ^Wren"
"Here is an example of an export before and after. Export settings are unchanged from default. No, only some files.","Hi Jack, we're looping the expert back into this conversation. Thanks! ^AJ"
"InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!","Hi Jake, any screenshots you can share? What are you export settings? Is this happening on all files with links? ^Wren"
"InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!",Sorry to hear that! I'm looping in our InDesign expert for help. ^Britt
I've just sent you a message with details. Thanks for your help,Thank you for that. We have responded to your DM with more information.
"Quand ton  ne ressemble pas  celui que tu as rserv, &amp; qu'en + d'tre sale et en sous-sol, tu te retrouves  10 dans 1 #logement !","Hi there, we would like to help. Please DM us your account's email and reservation code so we can further assist. Thank you."
Misrepresentation by host. Asked them to cancel my reservation and refund me over AUD1700 - strict policy. No response. Please help.,We are sorry to hear this. Please DM your email address and reservation code so we can look into this for you. Thank you.
They have no info either..,We'd recommend keeping an eye out on your email that is associated with your account for further info.  ^JA
Lol so there's no one  who can say when they're going to be shipped...? That's kinda weird,"Did you pre-order this console via the Microsoft store? If so, then let's have you reach out here:  ^JA"
Would like to know so I can make sure I have enough money for it...,Hi there! We'd recommend reaching out to the chat team here:  ^JA
redeemed a code for fifa points this afternoon and still haven't got it. Why is this?,Hello! Would you mind following us and sending a DM with your gamertag and the code you redeemed?  ^RR
"the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app",Can you show us what is appearing on your screen? ^RM
amazon,&gt; ET
"my colleagues  for more info on how this is affecting services, thanks. 2/2 ^JP","Hi. Emergency services are dealing with an incident, info here:"
Hi! I have DM u my booking # and passport picture thanks so much for quick action,"Hi Loreen,correction done! :) See you on board! Cheers!- Anwar"
Hi! i would like to know on my itenerary on how the birthday can be seen. i would like to double check if i can key in our birthdays right,"Hi Loreen, you may check the passenger's date of birth via AirAsia member account under manage booking. Thanks-Sha"
but i cant see it. i only see itenerary.. no birthday,As you may check it under manage my booking online or during web check in. Date of birth will be shown accordingly.- Ed
Hi Airasia. i want to rebook my return flight. but when i try rebooking my inbond also is rebooking. please help me. thanks,Hi Loreen :) Kindly DM us the booking number that you wish to do change flight for us to assist you further-Thanks-Anwar
hi!  I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line.,"Hi Loreen,kindly DM us your booking number and attach guest passport copy, we'll fix it for you, see you there!- Anwar"
lost my booking # chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__,Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking - Ed
"Hi Yana, followed!","Hi Emma, We have replied to you via DM. please check again, Thank you- Mariya"
Hi Yana I dont have any DMs from you. Did you mean email?,"Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you  =) Yana"
CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.,We have replied to you via DM. Check it out =) Yana
You'll be even happier to know that the restrictions around the volcano area have been lifted. Enjoy staying at home pal!  #unlucky,notified if there should be any changes-Yana
You'll be even happier to know that the restrictions around the volcano area have been lifted. Enjoy staying at home pal!  #unlucky,We are terribly sorry but we could not offer any options since all the flight are operating as per normal.Passengers will be
Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!!,"Hi Ashutosh , Could you provide us the booking number for further checking. Thanks - Khairul"
my surname has been redundant where do i go to correct it?,"Hi Looreen :) Kindly DM us the booking number and attach guest passport copy, we'll fix it for you, see you there! -Anwar"
my surname has been redundant where do i go to correct it?,H
My lips are sealed,Somebody else has told me!! I'm gutted :( - Chloe
"Aahhrrgh! Keep mum, Im still watching","Don't you worry Carol, my lips are shut!! - Chloe"
Fresh cream palmier  bakery Bellshill gets my vote for #star baker just catching up on #gbbo17 dont know who won yet,Please don't tell me Carol!! I can't wait to go home &amp; find out!! - Chloe
"That's pointless as it's every day, all the time. No matter when I go in. I speak 2the management who r as fed up as I am. They've no staff.",So sorry! Could you send me what store this is in so we can get this to the right people? - Janay
so fed up of this very familiar sight at Houghton Regis. Get more staff &amp; stock the place properly. This is just a small example,"Hi there, sorry about that. Please DM me when you visited the store and I'll look into this. Thanks - Kirsty"
"3 for 6, unless one is reduced (hidden label on the side!) then its 3 for 6.14. Dont care about the 14p but feel ripped off!","store you bought it from, along with your address and More Card number and I'll get this sorted for you. Thanks - Kirsty"
"3 for 6, unless one is reduced (hidden label on the side!) then its 3 for 6.14. Dont care about the 14p but feel ripped off!","Hi Emma, sorry about that. If a product is reduced then the previous offer isn't applied. Please DM me the barcode and the"
Thank you nike,"You're welcome, William. Give us a shout if you need assistance with anything else. Good luck with the NRC app."
"I'm new to nike+ run club app,  should i start with guided runs or my couch?",While the Coach plans can be weeks in time. It's up to you to decide what fits you best. (2/2)
"I'm new to nike+ run club app,  should i start with guided runs or my couch?",We got this. Both are beneficial to starting the NRC app. The Audio Guided runs are one time runs. (1/2)
Ive asked your sales rep about the payments and she wasnt ready to listen to any issues that I had.,"Apologies for all of the issues. If you have time to chat securely with me, I would be happy to review. ^Rachel"
Sure. Please drop me a message now.,Great. Please go to  log in and select code 10307  and we will continue our conversation there. ^RK
Amex Platinum and Amex everyday card.,What exactly is the issue you are having?
Nope. They werent ready to listen what I wanted to say and if I had any questions about anything else and hung up on me.,I am so sorry to hear that. Which U.S. based card do you have? Pls do not share any personal info.
Thought Amex values their customers. But boy you got really bad reps on the customer service.,"Hi there, I am so sorry to her that. what exactly is the issue you are having?"
Treat!,Its getting all sorts of saucy over here this #Halloween. #TrickorTweet
Treat me!,"Our hearts beating faster over here, and its not from all the scares. #TrickorTweet"
Can I get uhhhhhhhhhh... treat?,Chocolate chip cookies + McFlurry = everything youve ever been missing. #TrickorTweet
"I cant Connect my Interactive Broker ( Canada) with yahoo finance App in ios 11, Any suggestions.. ??",Hi - are you receiving an error message when trying to link the account?
I have to be at work at 2pm tomorrow. My new phone is being overnighted but it may not be there until then. I have no other ride.,"Hi there, thanks for reaching out. Please send us a DM so we can continue our conversation."
whats wrong w/ amazon leavin shit outside like ups...,Please let us know how we can help and DM your tracking # using this link. ^MC
that small biz tyrant a dime yo. nice,I'm sorry to hear that. Let us know what happened and if you have a tracking # please send that too. ^MC
i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage,"Glad to check. Pls, DM your confirmation number for assistance.  *QB"
My grandma's laying #Poolside thanks to  delicious New #ButtermilkCrispyTenders,Don't forget - this Sunday is Bring Your Grandma to McDonald's Day. See you then!
"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",We'd like to take a further look into this with you! Please reach us by phone or chat here:  ^AG
Way to drop the ball on customer service  so pissed right now!,"I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN"
I want my amazon payments account CLOSED.  dm me please.,"I am unable to affect your account via Twitter. For real time support, phone or chat use this link:  ^CH"
"Okay, danke fr die Info",Wir haben zu danken. Schnen Abend noch. ^JS
"also, beim Addams Family-Film in Prime sind Bild und Ton nicht wirklich synchron. Wie kommt's?","Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gru ^JS"
Yeah this is crazy were less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Thanks for your patience. ^KM
How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and its only a week away,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ
my package was accidentally opened.. 4 items missing worth 97. You need better delivery drivers!!,I'm sorry your order arrived in this condition! Please reach out to us for available options:  ^DG
why is my order at my local courier for the last 6 days and still hasnt been delivered to me?? Over 1 week late,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery:  ^SH
"Thanks for the style advice,  look ...I think? #Halloween2017 #flamingo",Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE
Hi ready for some help,Were you able to reach us at the link DW provided? ^TR
Is the Echo Show no longer supported?,"The Echo Show is supported, please reach us for some live troubleshooting at your convenience:  ^DW"
"Bought an  Echo Show and it wont recognize a single  account in our household. WTF, guys?","Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here:  ^SG"
That page is useless - doesnt allow me to state it hasnt been delivered; only tells me it has! How can you sort this out?,You can also request a call back here Martin  ^KM
. Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out,I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here:  ^SY
"In response to your  packing video, this packaging was for a 2ft washing line pole",Thanks for bringing this to our attention! Please also leave packing feedback here:  so we may improve.^KL
"I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL"
Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,Provide your details here:  and my team will escalate the order to Amazon Logistics for feedback. ^EZ
Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here:  ^SH
"Already handled, just venting. It was a pretty big bummer.",Let us know if theres anything else we can do for you! We're happy to help out any way we can! ^FR
", itd be nice if the book I waited 4 months for wasnt damaged inside of an undented box. #twinpeaks #twin",I'm sorry your book arrived this way! You can find replacement/refund options here:  ^VS
Feliz #Halloween2017,Que lindoooooooooo!  ^JJ
"delivery I paid for today,didnt arrive.why not?i paid enough for it.where is it??Im unhappy.refund the delivery charge",Oh no! Please contact us via phone/chat here:  We're unable to view order details via Twitter. ^KL
"Anna Inspired in idea lab at school to be  package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna.",You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC
They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,Oh my! I'm sorry for the troubles! Contact us by Phone or Chat:  &amp; we'll be glad to help! ^FR
"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",Oh no! We're here to help! Without providing account details will you give us more information about what has happened? ^SE
Yeah idk the shipping company and it says mike Ziemer signed for it in the mail room at our building lol,That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this:  ^BN
My package from  with my Halloween costume was delivered Friday but I dont have I so searching everywhere for a last minute idea.,"Sorry about your costume, Mike! Who's the carrier responsible for the delivery? Let's check here:  ^JZ"
How  packages china,We're always looking for ways to improve and we'd like to hear your feedback on this packaging:  ^KN
Details sent. Please check.,Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB
Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,Please share your details here: and I'll get back to you. 2/2 ^HD
Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,"I understand your concern, James. Allow me to take a closer look. 1/2 ^HD"
Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,Please report this to our support team here:  and we'll look into this. 2/2 ^HD
Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,"Apologies for the delay in delivery of your order, James. We'd like to take a closer look. 1/2 ^HD"
since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits:  ^MB
Just pulled another #Amazon delivery out of the bushes since the #amzl people cant walk the extra 2 ft to my door. So tired of this.,I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here:  ^BN
The newest update. I made sure to download it yesterday.,Lets take a closer look into this issue. Select the following link to join us in a DM and we'll go from there.
Tried resetting my settings .. restarting my phone .. all that,Let's go to DM for the next steps. DM us here:
This is what it looks like,Any steps tried since it started last night?
I have an iPhone 7 Plus and yes I do,That's great it has iOS 11.1 as we can rule out being outdated. Any steps tried since this started? Do you recall when it started?
I need answers because its annoying,We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?
"Hey  and anyone else who upgraded to ios11.1, are yall having issues with capital I in the Mail app? As it puts in A?","Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there."
This is what is happening...,We'd like to investigate further with you. Send us a DM and we can troubleshoot more from there.
Tf is wrong with my keyboard,"Fill us in on what is happening, then we can help out from there."
are the call centres closed for the night?,We've received your DM and will continue there.
hello are all the lines closed for tonight #help,What's going on? We're hapy to help if we can.
I upgraded. It didnt work.,"Reach out to us via DM, and we can take a look at this with you."
"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I try to type the letter I? Also","You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM:"
Ive got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying its the 18th... what happened?,Go ahead and send us a DM please. Let us know the country you're in.
I have the iPhone 6s Plus and just did the most recent update.,"To make sure, is iOS 11.1 installed on it currently? Also, any steps tried so far? DM us here:"
Thank you  I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.,"We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?"
iOS 11.0.3,"Let's check Settings &gt; General &gt; Software Update. iOS 11.1 was released earlier today. If you see it, please backup &amp; update."
Okey. Thank you!,"Our pleasure. If you're still having issues after a back up and update, contact us back. We're happy to help."
iPhone 7 Plus,Thanks! Which iOS version is currently showing in Settings &gt; General &gt; About?
I need the software update urgently. The battery lasts literally half a day,Hi there! What type of device are we working with?
Hola  necesito urgente la actualizacin de software. La batera me dura literal medio da,We offer support via Twitter in English. Get help in Spanish here:  or join
Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support!,We want to help! DM us and let us know more about the issues you are having.
? hello,We'd like to get you speaking to our experts here:
"Yes it did, 11.0.3","We've just released iOS 11.1. We suggest backing up &amp; updating. Then, test the issue again. Here's how:"
MY HOME BUTTON DOESNT WORK #IOS11,Let us help with your Home button. Did this issue start right after iOS 11? Which version of iOS 11 are you running?
Hey ! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?,We're here to help. Meet us in DM and we can check on available options.
I can not find an option to get it there. It was just always there when playing.,DM us the specific iOS version you are running currently and we'll continue there.
The app is still there. But no longer able to control it from the lockscreen.,"Just to confirm, this is only happening with Spotify, correct?"
After update #ios1103 no spotify on my lock screen?,Thanks for reaching out to us. Are you experiencing the missing app after restating your device?
I just need  to do something about the battery life because it sucks ass,We want to help you get your battery life back on track. Please DM and we'll look at it together.
you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft,Happy to follow up! Contact us via  so we can connect.
my driver just drove me to the department of air travel instead of the airport.......... rufkm,"We're here to help! Send us a note here,  and our team will be in touch."
Im not getting your texts.,"Were here to help, Travis! Send us a note via  and we'll be in touch."
got this threw my door today went to order... sorry we don't deliver to your area! What!!! Why did I get this then!,For more info about UberEats availability click here;
Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous,We have received your DM and will follow up with you there.
Literally stranded because of  and because there is no support phone number I have to wait from a message from  Smh,We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?
"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver  standards down now 4 applying!","We're sorry to hear this was your experience, Ray. Please contact us via  and we'll be in touch."
"Tall lady 6ft, slim, was on the till about 15:10, think she had blonde hair. She served the guy after knowing he didnt queue up like others","Hi Cade, thanks so much for sending that over. I have sent an email to the Store Manager to look into this for you. 1/2"
"Tall lady 6ft, slim, was on the till about 15:10, think she had blonde hair. She served the guy after knowing he didnt queue up like others","However, I'd still like to log this for you. Can you send us your full name, postcode &amp; address and email please? Thanks - Josh 2/2"
3/3 on the wrong which I really dont appreciate. This needs to be investigate and I was simply queuing to pay and the guy pushed in,"Hi Cade, what was my colleagues name? Can you give a description? When were you in our store? - Nick"
I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip.,"My apologies. If that flight never showed up on your search, that would mean it was full.  *TMT"
"why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning.",I'm sorry. The earlier flight may not have been available at the time of your scheduled change. *TMT
Via DM?,Please do.  *AFC
It seems this technical issue still hasn't Ben fixed.   Can you look into it again?,Please share additional details about the nature of this technical issue.  *AFC
"The ""change flight"" search option on your website is broken once again.","I sincerely apologize, our IT team is diligently working on it, we should have it up and working very soon.  *TMC"
